country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage,highest-tier,internet_penetration,yearly_growth_rate,disaster_recovery_sites
United Kingdom,523,30,150,200000000,1000,0.45,4,0.96,0.07,1
United States,5426,300,2000,3552000000,12000,0.27,4,0.92,0.12,1
Estonia,12,1,7,65000,20,0.45,4,0.88,0.08,0
France,322,20,110,120000000,700,0.40,4,0.91,0.06,1
Germany,529,50,200,350000000,2000,0.40,4,0.92,0.08,1
Greece,15,1,15,250000,57,0.82,4,0.82,0.14,1
Netherlands,298,15,90,35000000,700,0.90,4,0.96,0.08,1
Australia,314,20,80,40000000,1200,0.30,4,0.96,0.10,1
Philippines,21,0,21,2280000,497,0.98,3,0.98,0.21,1
Nepal,7,0,7,28000,4,0.50,3,0.50,0.07,1
